Medu,Fedu,studytime,failures,Dalc,absences,G1,G2,G3,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,internet_yes
4,4,1,0,1,4,6.5,6.5,7.0,0,0,1,0,0,0,0,1,1,0,0,1
3,3,1,0,3,16,5.0,5.5,6.0,0,0,0,1,0,1,0,0,1,0,0,1
4,4,1,1,2,30,7.0,7.5,8.0,0,0,1,0,0,0,0,1,1,0,0,1
4,4,2,0,1,0,5.5,5.0,5.5,0,0,0,1,0,0,0,1,0,0,1,1
4,3,2,0,1,2,7.0,7.0,7.5,1,0,0,0,0,1,0,0,1,0,0,1
2,3,2,0,1,4,5.5,6.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0
1,1,2,0,1,0,7.0,7.5,7.5,0,1,0,0,0,1,0,0,0,0,0,0
2,2,1,0,1,21,6.5,6.5,6.5,0,1,0,0,0,1,0,0,0,0,1,1
2,2,4,0,1,6,6.5,6.5,6.5,0,0,1,0,0,0,1,0,0,0,1,1
3,4,3,1,3,14,4.0,4.5,4.0,0,0,0,0,0,0,1,0,1,0,0,1
3,1,2,0,2,2,5.5,5.5,6.0,0,0,1,0,0,1,0,0,0,0,0,1
4,3,2,0,1,4,7.0,7.5,7.5,0,0,0,1,0,1,0,0,0,1,0,1
1,1,1,0,1,2,6.0,6.5,6.5,0,0,0,0,0,1,0,0,1,0,0,0
4,3,3,0,1,0,5.5,6.0,6.0,0,0,0,1,0,1,0,0,0,0,1,1
3,3,4,0,1,4,6.0,6.0,6.0,0,1,0,0,0,1,0,0,0,0,1,1
4,4,2,0,4,15,6.5,6.0,6.0,0,0,1,0,0,1,0,0,1,0,0,1
2,2,2,0,1,0,6.5,6.5,6.5,0,1,0,0,0,1,0,0,0,0,1,1
2,2,2,0,2,10,6.0,5.5,5.5,0,0,1,0,0,1,0,0,1,0,0,1
4,4,1,0,1,6,6.0,5.5,5.5,0,0,1,0,0,1,0,0,0,1,0,0
3,2,2,0,1,2,7.0,8.0,7.5,0,1,0,0,0,1,0,0,0,0,1,1
4,3,2,0,2,16,5.5,4.5,5.0,0,1,0,0,0,1,0,0,0,0,1,1
3,3,2,0,2,10,5.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,1
2,3,1,0,1,4,6.0,6.5,6.5,0,0,0,0,0,1,0,0,1,0,0,0
2,2,3,0,1,0,6.0,6.0,6.5,0,0,0,0,0,0,0,0,0,0,0,1
2,1,2,0,1,0,5.5,5.0,5.5,0,0,0,0,0,0,1,0,0,0,1,1
1,1,3,0,1,12,6.0,6.0,6.0,0,0,0,0,0,1,0,0,0,0,1,0
2,3,2,0,1,0,6.5,6.5,7.0,0,0,1,0,0,0,0,1,0,1,0,1
2,2,2,3,5,9,5.0,4.5,5.0,0,1,0,0,0,1,0,0,1,0,0,1
4,4,3,0,1,4,7.5,8.0,8.0,0,0,0,1,0,0,1,0,1,0,0,1
3,1,2,0,1,4,4.0,4.0,4.0,0,1,0,0,0,1,0,0,0,0,1,1
3,2,2,0,1,2,8.5,9.0,8.5,0,1,0,0,0,1,0,0,0,0,0,1
2,3,2,0,1,0,5.0,5.5,5.5,0,0,1,0,0,0,1,0,0,0,1,1
2,1,2,0,4,2,4.5,5.0,5.5,0,0,0,0,0,1,0,0,0,0,0,1
2,1,3,0,1,0,7.5,7.5,8.0,0,1,0,0,0,1,0,0,0,0,0,1
4,3,2,0,1,0,7.0,6.0,6.0,1,0,0,0,0,1,0,0,0,0,1,1
2,2,2,0,1,0,6.0,6.5,6.5,0,1,0,0,0,1,0,0,0,0,0,1
4,4,2,0,1,0,6.5,6.5,6.5,0,0,0,1,0,0,0,1,0,0,1,1
4,4,2,0,2,0,6.5,6.5,7.0,1,0,0,0,0,1,0,0,0,0,1,1
1,1,2,0,1,2,4.5,4.5,4.5,0,1,0,0,0,1,0,0,1,0,0,1
3,2,3,0,1,0,6.0,6.0,6.0,0,0,0,0,0,1,0,0,0,0,1,1
2,2,2,0,5,0,8.0,8.0,8.0,0,1,0,0,0,1,0,0,1,0,0,1
2,1,1,0,1,4,4.5,5.0,5.0,0,1,0,0,0,1,0,0,1,0,0,1
4,1,2,0,1,0,7.0,6.5,6.5,0,1,0,0,0,1,0,0,1,0,0,1
2,4,2,1,1,18,5.0,5.0,5.0,0,0,1,0,0,1,0,0,0,0,0,1
2,2,2,1,1,16,4.5,4.0,5.0,0,0,0,0,0,0,1,0,0,0,0,1
3,3,1,1,1,14,4.0,3.5,3.5,0,1,0,0,0,1,0,0,0,0,0,1
2,2,1,1,2,26,3.5,4.0,4.0,0,1,0,0,0,0,0,0,0,0,0,1
4,4,1,0,1,6,5.0,4.0,4.5,0,0,0,1,0,0,0,1,0,0,0,1
3,2,2,0,1,4,7.0,7.0,7.5,0,1,0,0,0,1,0,0,0,0,0,0
1,1,3,0,1,10,5.5,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,1,0,1,4,6.0,5.5,5.5,0,1,0,0,0,1,0,0,0,0,0,1
2,1,2,0,1,2,6.5,6.5,6.5,0,0,0,0,0,0,1,0,0,0,0,0
1,4,1,1,1,14,4.5,4.5,4.0,0,1,0,0,0,1,0,0,0,0,0,1
2,2,2,0,3,16,4.0,3.5,4.0,0,1,0,0,0,0,1,0,0,0,1,1
2,2,1,1,1,8,5.5,4.5,5.0,0,1,0,0,0,1,0,0,1,0,0,1
1,1,3,0,1,4,7.5,7.0,7.5,0,0,0,0,0,1,0,0,0,0,0,1
4,2,2,0,1,4,7.5,7.0,7.0,0,0,0,1,0,1,0,0,0,0,0,0
4,3,2,0,1,8,7.5,7.5,7.5,1,0,0,0,0,1,0,0,0,0,0,1
4,4,2,0,2,0,6.0,6.0,6.0,0,0,0,1,0,1,0,0,0,0,0,1
4,3,1,0,1,7,7.0,7.0,7.5,0,0,0,1,0,1,0,0,0,0,0,1
4,4,1,0,1,4,7.0,7.5,7.5,0,0,1,0,0,0,1,0,0,0,0,1
4,4,2,0,1,2,5.5,5.5,6.0,0,0,0,1,0,0,1,0,0,0,0,1
1,1,3,0,1,2,6.5,7.0,7.5,0,1,0,0,0,1,0,0,1,0,0,1
3,3,3,0,2,10,5.5,5.5,5.5,0,0,1,0,0,1,0,0,1,0,0,1
1,1,2,0,1,10,5.0,4.5,5.0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,3,0,1,10,6.0,5.0,5.5,0,1,0,0,0,1,0,0,0,0,0,1
2,1,1,0,1,7,7.5,8.0,8.0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,2,0,1,4,5.5,5.0,5.5,0,1,0,0,0,0,1,0,0,0,0,0
2,3,1,0,1,2,4.5,6.0,6.5,0,1,0,0,0,1,0,0,0,0,0,1
3,1,1,3,5,12,3.5,4.0,2.5,0,0,1,0,0,0,1,0,0,1,0,1
3,3,2,0,1,8,5.0,4.5,5.0,0,1,0,0,0,0,1,0,0,0,0,1
0,2,1,0,2,0,5.5,6.0,5.5,0,1,0,0,0,1,0,0,0,1,0,1
3,2,1,0,2,8,3.5,4.0,3.5,0,0,1,0,0,1,0,0,0,0,0,1
3,3,2,1,1,4,4.5,5.5,5.0,0,0,0,0,0,1,0,0,0,0,1,1
2,1,1,2,2,4,3.5,4.0,3.0,0,0,1,0,0,0,1,0,0,1,0,1
2,1,1,0,1,2,7.0,6.5,6.0,0,1,0,0,0,1,0,0,0,0,0,0
2,1,1,0,2,0,6.0,6.0,6.5,0,1,0,0,0,1,0,0,0,0,0,1
1,1,1,1,1,0,4.5,5.0,5.0,1,0,0,0,0,1,0,0,0,0,0,1
2,1,2,0,1,2,6.0,6.0,6.5,0,1,0,0,0,1,0,0,0,0,0,1
4,2,4,0,1,2,7.0,7.5,8.5,0,0,0,1,0,0,1,0,0,0,1,1
2,2,2,0,1,0,5.0,5.0,5.5,0,0,1,0,0,0,1,0,1,0,0,1
2,1,2,1,4,4,5.5,5.0,5.5,0,0,1,0,0,1,0,0,0,0,0,1
4,2,3,0,1,2,5.5,6.0,7.0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,3,0,2,4,5.5,6.0,7.0,0,1,0,0,0,0,0,0,1,0,0,0
2,2,2,0,1,4,5.5,5.5,6.5,0,1,0,0,0,1,0,0,1,0,0,0
4,3,2,0,1,4,5.5,6.5,7.0,0,0,1,0,0,0,0,0,0,0,1,1
2,1,2,0,1,2,8.0,8.0,8.0,0,1,0,0,0,1,0,0,1,0,0,1
2,2,1,0,1,0,4.5,5.0,5.0,0,1,0,0,0,0,1,0,0,1,0,0
2,2,4,0,1,2,5.0,5.5,6.0,0,0,1,0,0,0,1,0,0,0,0,1
2,1,2,0,1,8,5.0,6.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1
4,3,2,0,1,2,7.5,7.5,7.5,0,0,1,0,0,1,0,0,1,0,0,1
4,3,2,0,1,2,5.0,5.0,5.5,0,0,0,1,0,1,0,0,0,0,0,1
3,2,3,0,1,2,5.0,5.5,6.0,0,1,0,0,0,1,0,0,0,0,0,0
3,3,3,0,1,2,7.5,6.0,6.5,0,1,0,0,0,1,0,0,1,0,0,0
2,2,3,0,1,0,5.5,6.0,6.5,0,0,0,0,0,0,1,0,1,0,0,1
2,2,1,0,2,8,4.0,4.0,4.5,0,1,0,0,0,1,0,0,1,0,0,1
3,4,2,0,3,6,7.5,8.0,8.0,0,1,0,0,0,1,0,0,0,0,1,1
3,1,2,0,3,0,5.5,5.5,7.0,0,0,1,0,0,1,0,0,0,1,0,1
4,4,2,0,2,8,5.0,5.5,6.0,0,0,0,1,0,1,0,0,0,0,1,1
4,2,2,0,1,4,5.0,6.0,7.0,1,0,0,0,0,1,0,0,0,0,1,1
2,1,2,0,1,12,4.0,4.5,5.0,0,1,0,0,0,1,0,0,0,0,1,1
3,3,2,0,3,16,5.5,6.0,6.0,0,1,0,0,0,0,1,0,1,0,0,1
2,3,4,0,1,10,8.0,8.0,8.0,0,1,0,0,0,0,1,0,0,0,1,1
1,1,2,0,1,2,6.5,6.5,6.5,0,1,0,0,0,1,0,0,1,0,0,0
1,2,2,0,2,2,8.0,8.5,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,2,0,1,8,7.0,7.0,7.5,0,1,0,0,0,1,0,0,1,0,0,1
2,4,2,0,1,6,7.5,8.0,8.0,0,0,0,0,1,0,0,0,0,0,1,1
2,2,2,0,2,6,6.0,6.0,6.0,0,0,1,0,0,1,0,0,0,0,0,1
3,2,2,0,1,15,6.0,4.5,5.0,0,1,0,0,0,0,1,0,1,0,0,1
4,4,1,0,1,6,5.5,6.0,6.0,0,0,0,1,0,0,1,0,1,0,0,1
4,4,2,1,1,2,7.0,6.0,6.5,1,0,0,0,1,0,0,0,0,0,1,1
2,2,3,0,1,8,6.5,7.5,7.5,0,1,0,0,0,0,1,0,0,0,1,1
3,2,2,1,4,0,4.5,4.0,5.0,0,0,1,0,0,0,1,0,0,0,1,1
4,3,1,0,1,0,5.0,5.0,5.0,0,0,0,1,0,0,1,0,0,0,0,1
1,2,1,0,2,10,5.0,5.0,5.5,0,0,0,0,0,1,0,0,1,0,0,1
4,1,1,0,2,22,5.5,5.5,5.0,0,0,1,0,0,1,0,0,1,0,0,1
3,2,1,0,3,18,6.5,6.5,6.5,0,0,0,1,0,0,1,0,1,0,0,1
1,1,4,0,1,2,8.5,8.5,9.0,0,0,0,0,0,1,0,0,0,0,1,0
1,1,2,0,1,0,6.0,6.5,6.5,0,1,0,0,0,1,0,0,1,0,0,1
2,2,2,0,1,12,6.0,6.0,7.0,0,1,0,0,0,1,0,0,0,0,0,1
2,1,2,0,1,10,6.0,6.5,7.0,0,1,0,0,0,1,0,0,0,0,1,1
1,1,2,0,1,0,6.0,6.0,6.0,0,1,0,0,0,1,0,0,0,0,1,1
2,2,3,0,1,0,9.0,9.0,9.0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,3,0,1,0,6.5,6.5,7.0,0,0,1,0,0,0,0,1,0,0,1,1
2,1,3,0,1,0,7.0,7.5,7.5,0,0,1,0,0,0,1,0,0,0,1,1
4,4,2,0,1,0,8.5,8.5,8.5,0,0,0,1,0,0,0,1,0,0,1,1
4,2,2,0,1,2,7.5,8.0,8.0,0,0,0,1,0,1,0,0,1,0,0,1
4,3,3,0,1,0,8.5,9.0,9.0,1,0,0,0,0,0,1,0,0,0,1,1
3,1,4,0,1,0,9.0,9.5,9.5,0,0,1,0,0,1,0,0,0,0,1,0
3,2,3,0,1,0,7.0,7.5,7.5,0,0,1,0,0,1,0,0,0,0,1,1
3,3,1,0,1,0,7.0,7.5,7.5,1,0,0,0,0,1,0,0,1,0,0,1
4,4,2,0,2,2,7.0,6.5,6.5,1,0,0,0,0,1,0,0,0,0,1,1
4,3,2,0,1,0,6.5,7.0,7.0,0,1,0,0,0,1,0,0,1,0,0,1
4,3,4,0,1,0,8.0,8.5,8.5,0,1,0,0,0,1,0,0,0,0,1,1
4,4,1,0,2,0,9.0,9.0,8.5,0,0,0,1,0,0,0,1,1,0,0,1
4,4,2,0,1,0,7.0,7.5,7.5,1,0,0,0,0,1,0,0,1,0,0,1
4,4,1,0,2,0,6.0,6.5,6.5,0,1,0,0,0,0,0,1,1,0,0,1
4,4,3,0,1,0,3.5,3.5,4.0,0,0,1,0,0,0,1,0,0,0,1,1
4,2,3,0,1,0,8.0,8.0,8.0,0,1,0,0,0,1,0,0,0,0,1,1
3,2,4,0,1,0,9.0,9.0,9.0,1,0,0,0,1,0,0,0,0,0,1,1
2,1,3,1,1,0,4.5,5.0,5.5,0,0,0,0,0,0,1,0,0,0,0,1
3,2,1,2,1,0,7.0,7.5,7.5,0,0,1,0,0,1,0,0,0,0,0,0
3,3,2,0,1,0,5.0,5.0,5.5,0,1,0,0,0,0,1,0,0,0,1,0
1,4,2,0,1,2,5.0,5.0,5.5,0,1,0,0,0,0,0,1,1,0,0,0
2,1,2,0,1,2,6.0,6.0,7.5,0,0,1,0,0,1,0,0,0,0,0,1
2,3,2,0,1,2,5.5,6.0,7.0,0,1,0,0,0,1,0,0,0,0,0,1
4,4,1,0,1,2,7.5,8.0,8.5,0,0,0,1,0,0,0,1,0,0,0,1
4,3,3,0,1,2,7.0,7.5,8.5,0,1,0,0,0,1,0,0,0,0,0,1
4,3,1,0,1,8,6.0,6.0,7.5,1,0,0,0,0,0,1,0,0,0,0,1
3,4,3,0,2,2,7.5,7.5,8.5,0,0,0,0,0,0,1,0,0,0,0,1
3,3,2,0,1,8,5.5,6.0,7.0,0,0,0,0,0,1,0,0,0,0,0,1
4,2,2,0,1,9,5.5,5.0,5.0,1,0,0,0,0,1,0,0,0,0,0,1
4,4,2,0,3,0,6.0,5.5,6.5,0,0,0,1,0,1,0,0,0,0,0,1
3,4,1,0,1,4,5.5,6.0,7.0,0,1,0,0,0,1,0,0,0,0,0,1
4,4,1,0,1,2,7.0,7.5,8.5,1,0,0,0,1,0,0,0,0,0,0,1
4,3,2,0,1,14,7.5,7.0,8.5,0,0,1,0,0,0,1,0,0,0,0,1
3,3,2,0,1,0,6.0,6.0,6.5,0,0,1,0,0,1,0,0,1,0,0,1
2,1,2,0,2,2,5.5,6.0,7.0,0,1,0,0,0,1,0,0,1,0,0,1
4,4,1,0,3,2,4.0,4.5,5.5,0,1,0,0,0,1,0,0,0,0,1,1
1,1,3,0,4,12,5.0,5.0,5.5,0,1,0,0,0,1,0,0,0,0,0,0
1,1,2,2,1,2,4.0,4.0,4.5,0,1,0,0,0,1,0,0,0,0,0,1
2,2,1,0,2,2,5.0,5.0,5.0,0,1,0,0,0,1,0,0,0,0,0,1
2,2,2,0,1,4,7.0,6.5,6.5,0,1,0,0,0,1,0,0,0,0,0,0
2,2,3,0,2,0,5.5,5.5,5.0,0,0,1,0,0,0,1,0,0,0,0,1
3,1,3,0,2,0,8.5,9.0,8.5,0,0,1,0,0,0,1,0,0,0,0,1
0,2,3,0,2,0,7.0,7.0,7.5,0,0,0,0,0,0,0,0,1,0,0,1
1,1,3,0,1,0,7.0,7.0,7.0,0,1,0,0,0,1,0,0,1,0,0,1
4,4,3,0,2,0,6.5,7.0,6.5,0,1,0,0,0,1,0,0,0,0,0,1
3,3,1,0,3,0,8.5,9.0,8.5,0,1,0,0,0,0,1,0,0,0,1,1
2,2,1,0,5,2,5.5,5.0,5.0,0,0,1,0,0,1,0,0,0,0,0,1
4,4,3,0,1,0,6.5,6.0,6.5,0,0,0,1,0,0,1,0,0,0,0,1
4,4,3,0,1,4,7.5,7.0,7.5,0,0,0,1,0,0,0,1,0,0,0,1
3,3,1,0,2,2,5.5,6.0,5.5,0,0,0,0,0,1,0,0,0,0,0,1
2,2,4,0,2,0,5.5,5.5,6.0,0,1,0,0,0,1,0,0,0,0,0,1
3,2,1,0,2,0,5.5,5.0,5.0,0,0,0,0,0,0,1,0,1,0,0,0
2,2,2,0,1,2,5.0,4.5,5.0,0,0,0,0,0,1,0,0,0,0,0,0
2,4,3,0,1,0,7.5,7.5,7.5,0,0,0,0,0,1,0,0,0,0,0,1
2,2,1,0,1,6,7.5,7.0,7.5,0,1,0,0,0,1,0,0,0,0,1,1
3,3,2,0,1,8,5.0,5.5,6.0,0,0,1,0,0,0,1,0,1,0,0,1
2,2,2,0,1,0,5.0,4.5,6.0,0,1,0,0,0,1,0,0,1,0,0,1
2,2,4,0,1,6,7.0,6.5,7.0,0,0,0,0,0,1,0,0,0,0,0,0
3,4,3,0,1,8,5.5,6.5,7.0,0,0,1,0,0,1,0,0,0,0,0,1
3,2,2,0,2,0,6.0,6.5,7.5,0,1,0,0,0,1,0,0,1,0,0,1
3,3,4,0,1,4,7.0,7.0,7.5,0,0,1,0,0,0,1,0,1,0,0,1
3,2,2,0,2,0,7.0,7.0,8.0,0,1,0,0,0,1,0,0,1,0,0,1
4,4,2,0,2,0,6.0,6.0,6.5,0,0,0,1,0,0,1,0,1,0,0,1
3,4,2,0,1,6,8.0,8.0,8.5,0,0,1,0,0,1,0,0,1,0,0,1
2,2,2,0,1,18,5.0,6.0,7.0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,3,0,1,0,5.5,6.0,7.0,0,0,0,0,0,1,0,0,0,0,0,1
3,2,3,0,2,4,7.0,8.0,8.5,0,1,0,0,0,0,1,0,0,1,0,1
4,3,3,0,1,4,7.5,7.0,8.5,0,0,0,1,0,0,1,0,0,0,0,1
4,3,3,0,2,0,7.0,6.5,7.0,0,0,0,1,0,1,0,0,0,0,0,1
4,3,3,0,1,0,5.5,6.0,6.5,1,0,0,0,0,1,0,0,0,0,1,1
2,1,2,0,2,10,6.0,7.5,7.5,0,0,1,0,0,1,0,0,0,0,0,1
2,1,2,0,2,4,6.0,8.0,8.0,0,0,1,0,0,1,0,0,0,0,1,1
2,3,1,1,3,16,5.0,5.5,5.5,0,0,0,0,0,1,0,0,1,0,0,1
3,1,1,1,1,6,5.0,6.5,6.5,0,1,0,0,0,0,0,0,1,0,0,1
4,4,3,2,1,0,4.5,6.0,6.0,0,1,0,0,0,1,0,0,0,0,1,1
2,2,2,0,1,11,4.5,5.5,6.0,0,0,1,0,0,0,1,0,0,0,1,1
3,4,2,0,1,9,6.5,7.0,7.5,0,1,0,0,0,1,0,0,0,0,1,1
2,2,2,0,1,0,6.5,8.5,8.5,0,0,1,0,0,0,1,0,0,0,1,1
4,4,3,0,1,2,6.0,7.5,7.5,1,0,0,0,0,1,0,0,0,0,1,1
4,2,2,0,1,0,7.0,8.5,8.5,0,0,0,1,0,1,0,0,0,0,0,1
1,1,2,2,5,21,4.5,5.0,5.0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,3,0,1,8,5.5,7.5,7.5,0,1,0,0,0,1,0,0,0,0,1,1
4,4,1,1,4,5,4.5,5.0,5.5,0,0,0,1,0,1,0,0,1,0,0,1
3,2,2,0,1,10,8.0,9.0,9.0,0,1,0,0,0,1,0,0,0,0,1,1
3,2,3,0,1,5,7.0,8.5,8.5,0,0,0,0,0,1,0,0,0,0,1,1
2,3,1,0,4,13,6.5,7.0,7.0,0,1,0,0,0,0,1,0,0,0,1,1
2,1,1,0,1,10,3.5,5.5,5.5,0,1,0,0,0,1,0,0,0,0,1,1
2,2,2,0,1,10,7.0,8.5,8.5,0,0,1,0,0,1,0,0,0,0,1,1
1,0,1,1,1,5,4.0,5.0,5.0,0,1,0,0,0,1,0,0,0,0,1,1
